,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
400,424138,1257391,1425109239,,HUMAN_OBSERVATION,2013-01-20 00:00:00+00:00,11.2634,1.24048,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,4,5,POINT (1.24048 11.2634),"(1.24048, 11.2634)",True,2013,1
401,424140,1257393,1425109241,,HUMAN_OBSERVATION,2013-01-22 00:00:00+00:00,11.383,1.61464,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,3,5,POINT (1.61464 11.383),"(1.61464, 11.383)",True,2013,1
402,424141,1257394,1425109242,,HUMAN_OBSERVATION,2013-01-21 00:00:00+00:00,11.20045,1.50878,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.50878 11.20045),"(1.50878, 11.20045)",True,2013,1
403,424142,1257395,1425109243,,HUMAN_OBSERVATION,2013-01-22 00:00:00+00:00,11.39591,1.6010799999999998,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,16,POINT (1.60108 11.39591),"(1.6010799999999998, 11.39591)",True,2013,1
404,424143,1257396,1425109244,,HUMAN_OBSERVATION,2013-01-17 00:00:00+00:00,11.37712,1.90235,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.90235 11.37712),"(1.90235, 11.37712)",True,2013,1
405,424144,1257397,1425109245,,HUMAN_OBSERVATION,2013-01-17 00:00:00+00:00,11.35499,1.88557,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88557 11.35499),"(1.88557, 11.35499)",True,2013,1
406,424146,1257399,1425109247,,HUMAN_OBSERVATION,2013-01-22 00:00:00+00:00,11.37868,1.61847,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.61847 11.37868),"(1.61847, 11.37868)",True,2013,1
407,424147,1257400,1425109248,,HUMAN_OBSERVATION,2013-01-17 00:00:00+00:00,11.35537,1.88561,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88561 11.35537),"(1.88561, 11.35537)",True,2013,1
408,424148,1257401,1425109249,,HUMAN_OBSERVATION,2013-01-21 00:00:00+00:00,11.20376,1.50574,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.50574 11.20376),"(1.50574, 11.20376)",True,2013,1
409,424150,1257403,1425109251,,HUMAN_OBSERVATION,2013-01-21 00:00:00+00:00,11.40636,1.73838,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.73838 11.40636),"(1.73838, 11.40636)",True,2013,1
410,424151,1257404,1425109252,,HUMAN_OBSERVATION,2013-01-30 00:00:00+00:00,11.04427,1.03418,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.03418 11.04427),"(1.03418, 11.04427)",True,2013,1
411,424153,1257406,1425109254,,HUMAN_OBSERVATION,2013-01-20 00:00:00+00:00,11.2608,1.24049,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,4,5,POINT (1.24049 11.2608),"(1.24049, 11.2608)",True,2013,1
412,424154,1257407,1425109255,,HUMAN_OBSERVATION,2013-01-17 00:00:00+00:00,11.35371,1.88451,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.88451 11.35371),"(1.88451, 11.35371)",True,2013,1
413,424155,1257408,1425109256,,HUMAN_OBSERVATION,2013-01-21 00:00:00+00:00,11.20025,1.50894,6a01a01f-10a9-49bc-b0d1-2bd04493dc20,0,Kobus kob,106218,5220161,Kobus kob,5,5,POINT (1.50894 11.20025),"(1.50894, 11.20025)",True,2013,1
